Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CAF,Morgan Stanley China A Share Fund Inc,Financial,Closed-End Fund - Foreign,USA,226670000.0,11.98,13.3,0.0076,7525.0
CAN,Canaan Inc ADR,Technology,Computer Hardware,Singapore,177810000.0,,0.62,0.0335,27104482.0
CAPN,Cayson Acquisition Corp,Financial,Shell Companies,USA,80180000.0,87.22,10.24,0.0,0.0
CAPNU,Cayson Acquisition Corp,Financial,Shell Companies,USA,81120000.0,,10.36,-0.084,4.0
CATO,Cato Corp,Consumer Cyclical,Apparel Retail,USA,51530000.0,,2.61,0.008100000000000001,2800.0
CATX,Perspective Therapeutics Inc,Healthcare,Medical Devices,USA,249500000.0,,3.36,0.4064,3673937.0
CBAN,"Colony Bankcorp, Inc",Financial,Banks - Regional,USA,268810000.0,10.75,15.41,0.0294,11392.0
CBAT,CBAK Energy Technology Inc,Industrials,Electrical Equipment & Parts,China,90840000.0,252.5,1.01,0.0,135902.0
CBUS,Cibus Inc,Healthcare,Biotechnology,USA,96790000.0,,2.82,-0.0088,82569.0
CCCC,C4 Therapeutics Inc,Healthcare,Biotechnology,USA,101540000.0,,1.43,0.07519999999999999,392263.0
CCCMU,Columbus Circle Capital Corp I,Financial,Shell Companies,USA,256500000.0,,10.26,0.0088,485068.0
CCG,Cheche Group Inc,Communication Services,Internet Content & Information,China,69420000.0,,0.83,0.0184,136906.0
CCIF,Carlyle Credit Income Fund,Financial,Closed-End Fund - Debt,USA,123390000.0,21.77,6.53,0.0031,47147.0
CCLD,CareCloud Inc,Healthcare,Health Information Services,USA,91840000.0,,2.17,0.07429999999999999,252604.0
CDLX,Cardlytics Inc,Communication Services,Advertising Agencies,USA,90360000.0,,1.72,-0.022099999999999998,224797.0
CDXS,Codexis Inc,Healthcare,Biotechnology,USA,196760000.0,,2.38,0.0556,233379.0
CDZI,Cadiz Inc,Utilities,Utilities - Regulated Water,USA,259560000.0,,3.17,0.0064,226903.0
CEE,Central and Eastern Europe Fund Inc,Financial,Closed-End Fund - Foreign,USA,97790000.0,5.35,15.14,-0.0129,11618.0
CELU,Celularity Inc,Healthcare,Biotechnology,USA,55690000.0,,2.33,0.0379,6948.0
CERS,Cerus Corp,Healthcare,Medical Devices,USA,256420000.00000003,,1.34,0.016200000000000003,174963.0
CEV,Eaton Vance California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,67130000.0,12.4,9.54,-0.0037,11369.0
CFSB,CFSB Bancorp Inc,Financial,Banks - Regional,USA,89380000.0,,13.65,-0.0007000000000000001,775.0
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,220600000.0,,1.23,0.0124,3699450.0
CGCTU,Cartesian Growth Corp III,Financial,Shell Companies,USA,277100000.0,,10.04,0.0,25625.0
CGEN,Compugen Ltd,Healthcare,Biotechnology,Israel,165520000.0,,1.77,0.18,819421.0
CGO,Calamos Global Total Return Fund,Financial,Closed-End Fund - Equity,USA,110260000.0,3.09,11.24,0.0036,10296.0
CHAC,Crane Harbor Acquisition Corp,Financial,Shell Companies,USA,271580000.0,,9.94,0.0,637.0
CHAR,Charlton Aria Acquisition Corp,Financial,Shell Companies,USA,112010000.0,112.18,10.22,0.0,0.0
